"item_id","context_id","context","case","limit","target_type","target_verb","target_plausibility","filename","Group"
1,1,"Dummy1","ga","short","Nominative_Plausible","Target1","plausible","ga_short_1","A"
2,1,"Dummy2","o","short","Nominative_Plausible","Target2","implausible","o_short_1","B"
3,1,"Dummy3","ga","long","Nominative_Plausible","Target3","plausible","ga_long_1","C"
4,1,"Dummy4","o","long","Nominative_Plausible","Target4","implausible","o_long_1","D"
5,2,"Dummy5","ga","short","Nominative_Plausible","Target5","plausible","ga_short_2","B"
6,2,"Dummy6","o","short","Nominative_Plausible","Target6","implausible","o_short_2","C"
7,2,"Dummy7","ga","long","Nominative_Plausible","Target7","plausible","ga_long_2","D"
8,2,"Dummy8","o","long","Nominative_Plausible","Target8","implausible","o_long_2","A"
9,3,"Dummy9","ga","short","Nominative_Plausible","Target9","plausible","ga_short_3","C"
10,3,"Dummy10","o","short","Nominative_Plausible","Target10","implausible","o_short_3","D"
11,3,"Dummy11","ga","long","Nominative_Plausible","Target11","plausible","ga_long_3","A"
12,3,"Dummy12","o","long","Nominative_Plausible","Target12","implausible","o_long_3","B"
13,4,"Dummy13","ga","short","Nominative_Plausible","Target13","plausible","ga_short_4","D"
14,4,"Dummy14","o","short","Nominative_Plausible","Target14","implausible","o_short_4","A"
15,4,"Dummy15","ga","long","Nominative_Plausible","Target15","plausible","ga_long_4","B"
16,4,"Dummy16","o","long","Nominative_Plausible","Target16","implausible","o_long_4","C"
17,5,"Dummy17","ga","short","Nominative_Plausible","Target17","plausible","ga_short_5","A"
18,5,"Dummy18","o","short","Nominative_Plausible","Target18","implausible","o_short_5","B"
19,5,"Dummy19","ga","long","Nominative_Plausible","Target19","plausible","ga_long_5","C"
20,5,"Dummy20","o","long","Nominative_Plausible","Target20","implausible","o_long_5","D"
21,6,"Dummy21","ga","short","Nominative_Plausible","Target21","plausible","ga_short_6","B"
22,6,"Dummy22","o","short","Nominative_Plausible","Target22","implausible","o_short_6","C"
23,6,"Dummy23","ga","long","Nominative_Plausible","Target23","plausible","ga_long_6","D"
24,6,"Dummy24","o","long","Nominative_Plausible","Target24","implausible","o_long_6","A"
25,7,"Dummy25","ga","short","Nominative_Plausible","Target25","plausible","ga_short_7","C"
26,7,"Dummy26","o","short","Nominative_Plausible","Target26","implausible","o_short_7","D"
27,7,"Dummy27","ga","long","Nominative_Plausible","Target27","plausible","ga_long_7","A"
28,7,"Dummy28","o","long","Nominative_Plausible","Target28","implausible","o_long_7","B"
29,8,"Dummy29","ga","short","Nominative_Plausible","Target29","plausible","ga_short_8","D"
30,8,"Dummy30","o","short","Nominative_Plausible","Target30","implausible","o_short_8","A"
31,8,"Dummy31","ga","long","Nominative_Plausible","Target31","plausible","ga_long_8","B"
32,8,"Dummy32","o","long","Nominative_Plausible","Target32","implausible","o_long_8","C"
