item_id,condition,context_n,id,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,probe,filename
61,el,9,1,The,fertilizer,enriched,the,soil,so,the,plants,####,####,####,####,####,could,el_1
62,el,12,2,All,the,guests,had,a,very,good,time,at,the,party,####,####,he,el_2
63,el,3,3,The,mole,####,####,####,####,####,####,####,####,####,####,####,would,el_3
64,el,4,4,Most,shark,attacks,####,####,####,####,####,####,####,####,####,####,will,el_4
65,el,4,5,The,bad,boy,####,####,####,####,####,####,####,####,####,####,was,el_5
66,el,9,6,New,York,is,a,very,busy,city,that,####,####,####,####,####,never,el_6
67,el,10,7,The,boys,helped,Jane,wax,her,car,because,she,####,####,####,####,didn't,el_7
68,el,11,8,We,sometimes,forget,that,golf,is,just,a,game,that,####,####,####,doesn't,el_8
69,el,4,10,The,wealthy,child,####,####,####,####,####,####,####,####,####,####,would,el_10
70,el,10,12,The,ship,disappeared,into,the,thick,fog,and,was,####,####,####,####,never,el_12
71,el,12,14,George,must,keep,his,pet,on,a,leash,so,it,does,####,####,not,el_14
72,el,8,15,Yesterday,with,a,big,group,of,"friends,",####,####,####,####,####,####,they,el_15
73,el,9,18,They,sat,together,without,speaking,a,single,word,####,####,####,####,####,and,el_18
74,el,7,19,Emily,poured,cereal,in,a,bowl,####,####,####,####,####,####,####,to,el_19
75,el,6,20,On,my,birthday,my,grandma,####,####,####,####,####,####,####,####,always,el_20
76,el,11,21,The,carpenter,pounded,in,the,last,nail,with,his,hammer,####,####,####,and,el_21
77,el,12,22,Karen,cut,the,long,string,with,a,pair,of,scissors,that,####,####,she,el_22
78,el,4,24,The,tenants,decided,####,####,####,####,####,####,####,####,####,####,to,el_24
79,el,7,26,To,help,everyone,find,her,"house,",####,####,####,####,####,####,####,Lisa,el_26
80,el,4,27,They,drank,champagne,####,####,####,####,####,####,####,####,####,####,to,el_27
81,el,6,28,Tight,after,her,lunch.,the,####,####,####,####,####,####,####,####,mother,el_28
82,el,9,29,For,the,halftime,"entertainment,",the,junior,high,marching,####,####,####,####,####,band,el_29
83,el,11,30,On,hot,days,many,people,sun,themselves,on,the,beach,####,####,####,and,el_30
84,el,9,32,The,teller,cashed,the,large,traveller's,check,that,####,####,####,####,####,John,el_32
85,el,11,33,On,top,of,the,hamburger,there,was,melted,cheese,and,####,####,####,it,el_33
86,el,7,34,Every,Sunday,morning,at,"10am,",the,####,####,####,####,####,####,####,organist,el_34
87,el,4,35,Every,Sunday,morning,####,####,####,####,####,####,####,####,####,####,people,el_35
88,el,10,38,John,poured,himself,a,glass,of,sparkling,red,wine,####,####,####,####,to,el_38
89,el,13,39,Because,he,had,a,toothache,he,called,his,dentist,to,see,what,he,would,el_39
90,el,13,40,Tim,put,his,feet,up,on,his,father's,oak,desk,even,though,####,he,el_40
91,el,8,42,The,racing,cars,received,the,checkered,flag,####,####,####,####,####,####,to,el_42
92,el,8,45,The,attendant,filled,the,car,with,gas,####,####,####,####,####,####,and,el_45
93,el,11,46,A,female,chicken,is,called,a,hen,and,her,babies,####,####,####,are,el_46
94,el,12,47,The,policeman's,gun,was,sitting,in,his,shoulder,holster,when,the,####,####,phone,el_47
95,el,12,48,They,could,not,afford,to,give,their,daughter,piano,lessons,so,####,####,she,el_48
96,el,11,50,The,maid,loaded,the,laundry,into,the,washing,machine,and,####,####,####,she,el_50
97,el,4,51,Before,exercising,Jack,####,####,####,####,####,####,####,####,####,####,always,el_51
98,el,9,53,They,placed,an,ad,in,the,daily,paper,####,####,####,####,####,to,el_53
99,el,8,54,At,his,birthday,party,last,Sunday,"afternoon,",####,####,####,####,####,####,they,el_54
100,el,13,55,In,the,morning,he,forgot,to,take,his,vitamin,pill,so,he,had,to,el_55
101,el,11,56,Right,after,winning,the,race,at,the,famous,"racetrack,",the,####,####,####,horse,el_56
102,el,12,57,He,finally,decided,to,shingle,the,damaged,roof,that,the,storm,####,####,had,el_57
103,el,8,59,Pam,weighed,herself,on,the,bathroom,scale,####,####,####,####,####,####,to,el_59
104,el,11,60,They're,out,in,the,garden,pulling,weeds,so,the,flowers,####,####,####,can,el_60
105,sol,9,2,The,girls,asked,the,lord,for,new,gossip,####,####,####,####,####,and,sol_2
106,sol,10,3,The,doormen,ushered,the,student,away,from,the,building,####,####,####,####,and,sol_3
107,sol,9,6,The,old,couple,begged,the,criminal,for,mercy,####,####,####,####,####,and,sol_6
108,sol,9,7,The,neighbors,visited,the,professor,some,days,ago,####,####,####,####,####,to,sol_7
109,sol,9,10,The,ladies,watched,the,artist,yesterday,evening,and,####,####,####,####,####,they,sol_10
110,sol,9,11,The,girls,met,the,commander,at,the,party,####,####,####,####,####,to,sol_11
111,sol,10,14,The,crowd,thrilled,the,actor,with,a,standing,ovation,####,####,####,####,and,sol_14
112,sol,9,15,The,ministers,blamed,the,king,for,the,crisis,####,####,####,####,####,and,sol_15
113,sol,9,18,The,brothers,accompanied,the,farmer,to,the,market,####,####,####,####,####,to,sol_18
114,sol,9,19,The,reporters,asked,the,doctor,about,the,incident,####,####,####,####,####,and,sol_19
115,sol,9,22,The,peasants,feared,the,soldier,during,the,war,####,####,####,####,####,and,sol_22
116,sol,10,23,The,advisors,blamed,the,president,for,the,recent,problems,####,####,####,####,and,sol_23
117,sol,9,26,The,women,asked,the,priest,for,advice,and,####,####,####,####,####,she,sol_26
118,sol,10,27,The,townspeople,ignored,the,stranger,most,of,the,time,####,####,####,####,they,sol_27
119,sol,9,30,The,ladies,recognized,the,lawyer,at,the,ball,####,####,####,####,####,and,sol_30
120,sol,10,31,The,visitors,awaited,the,director,for,half,an,hour,####,####,####,####,to,sol_31
